bug_type;bug_id;commit_hash_bug;commit_hash_ref;considered_commits;date_commit_bug;date_commit_refactoring;diff_in_days;distance;el;ending_commit;is_root_canal;ref_hash_id;ref_type;scope;starting_commit;type
functional;48729;d04dd88d6f6816da0b0985ba9c4256713404d0bf;f42751e6be458650d257b4638dafb2c0116a741a;[u'd04dd88d6f6816da0b0985ba9c4256713404d0bf'];27/04/09 18:54;25/04/09 23:25;1;1;org.apache.catalina.realm.JNDIRealm.getRoles(DirContext,User);2367;FALSE;23dd91d81e2ba48bf2260a7aad91319b;Inline Method;[u'org.apache.catalina.realm.JNDIRealm', u'org.apache.catalina.realm.JNDIRealm.getRolesRecursive(int,DirContext,Map,Set,String,String)', u'org.apache.catalina.realm.JNDIRealm.getRoles(DirContext,User)', u'org.apache.catalina.realm.JNDIRealm.getRoles(DirContext,User)', u'org.apache.catalina.realm.JNDIRealm'];2366;inserted
functional;46984;f93376d54df87ca64c1286ac209da107b45ab574;4934e296c619bec8b74041da8f1c6bbdfcc65b6d;[u'b0d601f297f4327f2c7d3d60f22c19f6a81ae4a2', u'e2524a84edf4265e1f5ddccfe445e07be126f589', u'8d56e2221c36f8cc72ce22ab5ef44aac5909ca87', u'ef69911cfeb49cf6cf53d10f77e980fae031a83f', u'9cdd9a9f7a5307b95967486d15788ac6e9cb321d', u'91ead6dc2756fef95591e04dc252646f0fc01883', u'5caad4c0595e5c3a59073c4c1d35d921c83278a2', u'0b50d45a33659c04338997d6c0b19cba254ffb1d', u'a3f894b0c2efc43cc497a92ecfedf355ee5543d2', u'dbe007a1f0576f9e53666c2df8b07c28bad126c7', u'8a88f257ae33b705a1b6ce160a06207cb7805c31', u'efb55eeb407d93f4e1e8a788a76d5cf35403be66', u'eae54419c6e196933998f63358367040edaa4a8c', u'32055385e40a6f46660908410c27716d24e1493d', u'462cda09f0df39308faabc1ce3a3b20808549b28', u'ba30dca179991f843aa6f523f132069ebcea7932', u'2257ea50503e413d43e48b9a9fada5a2cb8208e1', u'4a0472248dbffd4a8d652a4bd79ec55b38807400', u'19d047f94ba8ea4fb318b8894701183ec8632380', u'4448de398bb342a5077fa40fe5e5c42a42df4548', u'0e360f39c2ab4e39d427f67b3fb024c9e08b633a', u'6a2951123d4b41c8718375b9bf694b08cfe53190', u'b3a3c25b4ec02c234de01b31a948d185d2040bf9', u'6dbc40005371037086de9994df6f38995ef6a6f1', u'05317b0354d93c930dee5e2f213c4cb4980d4f63', u'866474163a36185214428829def3fc31d2c30087', u'62d01f2c3caae42b60161c8566015aee48648949', u'f019587ce19478dc4f55d122295121f229e36713', u'188cc2802e7b66c6005e7c451afc20e5852ae3fc'];19/05/08 20:07;17/05/06 12:51;733;29;org.apache.coyote.http11.Http11AprProcessor.process(long);1602;FALSE;3ced0e59539f11495f52a43fd26cd0f0;Extract Method;[u'org.apache.coyote.http11.Http11AprProcessor', u'org.apache.coyote.http11.Http11AprProcessor.process(long)', u'org.apache.coyote.http11.Http11AprProcessor', u'org.apache.coyote.http11.Http11AprProcessor.process(long)', u'org.apache.coyote.http11.Http11AprProcessor.endRequest()'];78;inserted
functional;46984;f93376d54df87ca64c1286ac209da107b45ab574;4934e296c619bec8b74041da8f1c6bbdfcc65b6d;[u'b0d601f297f4327f2c7d3d60f22c19f6a81ae4a2', u'e2524a84edf4265e1f5ddccfe445e07be126f589', u'8d56e2221c36f8cc72ce22ab5ef44aac5909ca87', u'ef69911cfeb49cf6cf53d10f77e980fae031a83f', u'9cdd9a9f7a5307b95967486d15788ac6e9cb321d', u'91ead6dc2756fef95591e04dc252646f0fc01883', u'5caad4c0595e5c3a59073c4c1d35d921c83278a2', u'0b50d45a33659c04338997d6c0b19cba254ffb1d', u'a3f894b0c2efc43cc497a92ecfedf355ee5543d2', u'dbe007a1f0576f9e53666c2df8b07c28bad126c7', u'8a88f257ae33b705a1b6ce160a06207cb7805c31', u'efb55eeb407d93f4e1e8a788a76d5cf35403be66', u'eae54419c6e196933998f63358367040edaa4a8c', u'32055385e40a6f46660908410c27716d24e1493d', u'462cda09f0df39308faabc1ce3a3b20808549b28', u'ba30dca179991f843aa6f523f132069ebcea7932', u'2257ea50503e413d43e48b9a9fada5a2cb8208e1', u'4a0472248dbffd4a8d652a4bd79ec55b38807400', u'19d047f94ba8ea4fb318b8894701183ec8632380', u'4448de398bb342a5077fa40fe5e5c42a42df4548', u'0e360f39c2ab4e39d427f67b3fb024c9e08b633a', u'6a2951123d4b41c8718375b9bf694b08cfe53190', u'b3a3c25b4ec02c234de01b31a948d185d2040bf9', u'6dbc40005371037086de9994df6f38995ef6a6f1', u'05317b0354d93c930dee5e2f213c4cb4980d4f63', u'866474163a36185214428829def3fc31d2c30087', u'62d01f2c3caae42b60161c8566015aee48648949', u'f019587ce19478dc4f55d122295121f229e36713', u'188cc2802e7b66c6005e7c451afc20e5852ae3fc'];19/05/08 20:07;17/05/06 12:51;733;29;org.apache.coyote.http11.Http11AprProcessor.process(long);1602;FALSE;c140175e2a54be167ea0c39723ec1340;Extract Method;[u'org.apache.coyote.http11.Http11AprProcessor', u'org.apache.coyote.http11.Http11AprProcessor.process(long)', u'org.apache.coyote.http11.Http11AprProcessor', u'org.apache.coyote.http11.Http11AprProcessor.process(long)', u'org.apache.coyote.http11.Http11AprProcessor.recycle()'];78;inserted
functional;46984;f93376d54df87ca64c1286ac209da107b45ab574;0d7bfe68c34394a0adfe1214256993b01fe232ab;[u'f93376d54df87ca64c1286ac209da107b45ab574', u'0023fdab3284dfd411759fc55ea2aafc85b8719f', u'c83d8ec5aeed0a467cbde2aad5cc70a9f30bdc25', u'd87b4ef1cdd99b12d590fa3314e49b790fecb8d7', u'de80680e01db0bdc9617dc44c576e9dca47813b9'];19/05/08 20:07;31/05/07 11:51;354;5;org.apache.coyote.http11.InternalNioInputBuffer.parseRequestLine(boolean);1602;FALSE;269d7d346aba19d8dd14a0be22533d0b;Extract Method;[u'org.apache.coyote.http11.InternalNioInputBuffer', u'org.apache.coyote.http11.InternalNioInputBuffer.parseRequestLine(boolean)', u'org.apache.coyote.http11.InternalNioInputBuffer', u'org.apache.coyote.http11.InternalNioInputBuffer.readSocket(boolean,boolean)', u'org.apache.coyote.http11.InternalNioInputBuffer.parseRequestLine(boolean)'];958;inserted
functional;46984;f93376d54df87ca64c1286ac209da107b45ab574;1bb905c8cfd9287a366e495be7c11b2b1aca5497;[u'f93376d54df87ca64c1286ac209da107b45ab574', u'de80680e01db0bdc9617dc44c576e9dca47813b9'];19/05/08 20:07;15/11/07 15:09;186;2;org.apache.coyote.http11.InternalNioInputBuffer.parseRequestLine(boolean);1602;FALSE;3e0c1ab95435ca8e94a012234fca8f1d;Extract Method;[u'org.apache.coyote.http11.InternalNioInputBuffer', u'org.apache.coyote.http11.InternalNioInputBuffer.parseRequestLine(boolean)', u'org.apache.coyote.http11.InternalNioInputBuffer.parseRequestLine(boolean)', u'org.apache.coyote.http11.InternalNioInputBuffer.readSocket(boolean,boolean)', u'org.apache.coyote.http11.InternalNioInputBuffer'];1311;inserted
functional;46990;f6be17f364a204f69a522b3cba0e95a591a877a9;3cdee7f86505eacfe59ba5a22c3642e00b4d4c6f;[u'f6be17f364a204f69a522b3cba0e95a591a877a9'];14/01/09 21:55;14/01/09 21:54;0;1;org.apache.catalina.core.StandardContext.addFilterMap(FilterMap);2146;FALSE;80adb14225c89a34be6f15a821ce1fad;Extract Method;[u'org.apache.catalina.core.StandardContext', u'org.apache.catalina.core.StandardContext.addFilterMap(FilterMap)', u'org.apache.catalina.core.StandardContext.addFilterMap(FilterMap)', u'org.apache.catalina.core.StandardContext.validateFilterMap(FilterMap)', u'org.apache.catalina.core.StandardContext'];2145;inserted
functional;41521;c38b7baaa710a7c876aef47a27b97614ad9efe60;4107ef876baf8f0087507f812fca461df3afc238;[u'c38b7baaa710a7c876aef47a27b97614ad9efe60'];04/04/06 22:34;04/04/06 17:19;0;1;org.apache.catalina.core.ApplicationFilterFactory.matchFiltersURL(FilterMap,String);25;TRUE;c96d34d56f9d2cb3bfa0dd7f412bdd0b;Extract Method;[u'org.apache.catalina.core.ApplicationFilterFactory', u'org.apache.catalina.core.ApplicationFilterFactory.matchFiltersURL(FilterMap,String)', u'org.apache.catalina.core.ApplicationFilterFactory.matchFiltersURL(FilterMap,String)', u'org.apache.catalina.core.ApplicationFilterFactory.matchFiltersURL(String,String)', u'org.apache.catalina.core.ApplicationFilterFactory'];24;inserted
functional;50903;ae0e7c42a67ea25bf558d2ca52c3bc9b97c8d654;fc66705b8fe1fc998b095e4719d313070fcad9b4;[u'ee69bc0ee6b68c5ad89dc068a7ff304fae808633', u'c8e1569ea59ed17b8b2ea3a4c704e4dd2dadff2f', u'0990fc3cf4798611be12dba85703685b6c1ce74d', u'21d81ca3b5133fcf05988cc2d0fe3d91ebe14311', u'569df636fac49e74dfe806c162be92f480d16d75', u'6c72fd4b24c2c468d8e6d3c8d7208bb37d4feb4c', u'10bd883d8d3624eb1180097f5390284bb573b4bf', u'd0aa09cb14ccd98799aef97a267547e3afa696a0', u'ee270b9ab31047b16273c4f07cc480cb2b5fd07d', u'09abffbdcd2024b60ad5c89e5d755a31ca1320d2', u'587b1a807129c2ab41623358281aa19ff2ff9950', u'8f03761991b5bd661efe049e83ad0568b6b71669', u'baa74b119be0676de07432468c6ac42fc6f2eed4', u'6e367ecd0f9d15d1008bbaf4119a7914a80c6fca', u'406f681dffe02af464a5b34bbba69a4ca6c8292a', u'2357fb52763c69aa8cf493e8af2f5a508b188409', u'8cb5606b2caa373bb00d690759f562d7e69e81b6', u'bdc073d8b6ad8b256a42d70ec6ef73eca7062ed5', u'132e68bf4076a254dd96af9d93897924485a984c', u'b2c34f2fe90ad7be3b4e1fcab055dbee28373155', u'c580bc60c9188fd8ea2df13d9afabbbf1861d7fb', u'44dd79d68beec3309998e51db705793deab078be', u'96b44321b81830455df4bdb20d474678b689fe6d', u'cd7263e6d9ff11cfda2bc2fe73aab0770c6f899f', u'4b60a6c904da1da5ca4791ecf31789cd63c28f68', u'3d5de5663106d6ad41bac6b49c419addd6b16eb6', u'63c51140db3f652749185489333d095766039ac5', u'0e846b01afa959e3479d0d1796f95af3995c5dca', u'b0923cfd88781d0f5c0aaec7364ca9a1ef844846', u'40d4721b1f972e7b443bbce7b8b56176fed3260f', u'a11310e6813369c36fb2e3ad95052044b9d00451', u'3d53b8ecbe7f84712f2333dfbe22823681cec7f9', u'a8dd98fea2bf0fedb8b568cfdd56380f02cf4565', u'311e8b72330e6e84da8f2bf71d9e4aea8bdbac61', u'8e5d0a0560de11502a5b7fb619b9d4b1fa4f4230', u'0699c3648f0d372f057bbe177fe7c440d84be853', u'a9974c3e90bcc94f587b9ed8ec48c0e61968e76b'];03/03/11 19:13;18/03/10 13:54;350;37;org.apache.coyote.http11.Http11Processor.process(SocketWrapper);5985;FALSE;ad73280cfb8515d70cc6b0e8119f265a;Extract Method;[u'org.apache.coyote.http11.Http11Processor.process(SocketWrapper)', u'org.apache.coyote.http11.Http11Processor', u'org.apache.coyote.http11.Http11Processor', u'org.apache.coyote.http11.Http11Processor.endRequest()', u'org.apache.coyote.http11.Http11Processor.process(SocketWrapper)'];3942;inserted
functional;50903;ae0e7c42a67ea25bf558d2ca52c3bc9b97c8d654;fc66705b8fe1fc998b095e4719d313070fcad9b4;[u'ee69bc0ee6b68c5ad89dc068a7ff304fae808633', u'c8e1569ea59ed17b8b2ea3a4c704e4dd2dadff2f', u'0990fc3cf4798611be12dba85703685b6c1ce74d', u'21d81ca3b5133fcf05988cc2d0fe3d91ebe14311', u'569df636fac49e74dfe806c162be92f480d16d75', u'6c72fd4b24c2c468d8e6d3c8d7208bb37d4feb4c', u'10bd883d8d3624eb1180097f5390284bb573b4bf', u'd0aa09cb14ccd98799aef97a267547e3afa696a0', u'ee270b9ab31047b16273c4f07cc480cb2b5fd07d', u'09abffbdcd2024b60ad5c89e5d755a31ca1320d2', u'587b1a807129c2ab41623358281aa19ff2ff9950', u'8f03761991b5bd661efe049e83ad0568b6b71669', u'baa74b119be0676de07432468c6ac42fc6f2eed4', u'6e367ecd0f9d15d1008bbaf4119a7914a80c6fca', u'406f681dffe02af464a5b34bbba69a4ca6c8292a', u'2357fb52763c69aa8cf493e8af2f5a508b188409', u'8cb5606b2caa373bb00d690759f562d7e69e81b6', u'bdc073d8b6ad8b256a42d70ec6ef73eca7062ed5', u'132e68bf4076a254dd96af9d93897924485a984c', u'b2c34f2fe90ad7be3b4e1fcab055dbee28373155', u'c580bc60c9188fd8ea2df13d9afabbbf1861d7fb', u'44dd79d68beec3309998e51db705793deab078be', u'96b44321b81830455df4bdb20d474678b689fe6d', u'cd7263e6d9ff11cfda2bc2fe73aab0770c6f899f', u'4b60a6c904da1da5ca4791ecf31789cd63c28f68', u'3d5de5663106d6ad41bac6b49c419addd6b16eb6', u'63c51140db3f652749185489333d095766039ac5', u'0e846b01afa959e3479d0d1796f95af3995c5dca', u'b0923cfd88781d0f5c0aaec7364ca9a1ef844846', u'40d4721b1f972e7b443bbce7b8b56176fed3260f', u'a11310e6813369c36fb2e3ad95052044b9d00451', u'3d53b8ecbe7f84712f2333dfbe22823681cec7f9', u'a8dd98fea2bf0fedb8b568cfdd56380f02cf4565', u'311e8b72330e6e84da8f2bf71d9e4aea8bdbac61', u'8e5d0a0560de11502a5b7fb619b9d4b1fa4f4230', u'0699c3648f0d372f057bbe177fe7c440d84be853', u'a9974c3e90bcc94f587b9ed8ec48c0e61968e76b'];03/03/11 19:13;18/03/10 13:54;350;37;org.apache.coyote.http11.Http11Processor.process(SocketWrapper);5985;FALSE;a96ece537fe0f28e82c7dff7dcdc6298;Extract Method;[u'org.apache.coyote.http11.Http11Processor', u'org.apache.coyote.http11.Http11Processor.process(SocketWrapper)', u'org.apache.coyote.http11.Http11Processor', u'org.apache.coyote.http11.Http11Processor.process(SocketWrapper)', u'org.apache.coyote.http11.Http11Processor.recycle()'];3942;inserted
functional;49226;17e1a5ae5d8232ed6a838211813f2592d91392bf;8f090a4f6ee03ea19f877e569ac7f47d81419e7c;[u'49673ad8a5092a3ed8e018c7f75b979b5f477d39', u'fedbd46d6216701ca1465dcdf0dce974a34ec27e', u'4e72f8ee62137f0bd5d0aaf1b9f8690699393d9a'];15/04/10 22:57;15/04/09 22:45;365;3;org.apache.catalina.startup.ClassLoaderFactory.createClassLoader(File,File,ClassLoader);4073;;94e14ead0c653b0da7ae5a5e7132d4b8;Inline Method;[u'org.apache.catalina.startup.ClassLoaderFactory.createClassLoader(File,File,URL,ClassLoader)', u'org.apache.catalina.startup.ClassLoaderFactory', u'org.apache.catalina.startup.ClassLoaderFactory.createClassLoader(File,File,ClassLoader)', u'org.apache.catalina.startup.ClassLoaderFactory.createClassLoader(File,File,ClassLoader)', u'org.apache.catalina.startup.ClassLoaderFactory'];2335;inserted
