bug_type;bug_id;commit_hash_bug;commit_hash_ref;considered_commits;date_commit_bug;date_commit_refactoring;diff_in_days;distance;el;ending_commit;is_root_canal;ref_hash_id;ref_type;scope;starting_commit;type
functional;3654;a243254462954b207fc85fd0940137e7e12e46a3;07e78987dec06decea2760c48e67e2f1be8617ce;[u'0f218f6942d251a3a11c6384a97d87b3c98243dd', u'07105cd9366e4b9f1856d9df96aa0bc1184649e6', u'7cb41867ef74d8a95f6d014c5ae3af3e26fe0b66', u'84a1c85988d3c6115dc1387b47feb84c75d7c1eb', u'9e09dae1686769b6e660cd6b8ec9a62ab35e9acd', u'd58caea92031fd5cdd8b9f2620c7619c372bc148', u'0ab67c7c36ce5157f8f56537839cca04bc791004', u'a4d74210302192bb6326a7653610c9b727a02e94', u'c2f07c86d2be63769e43c847d2aec5d0f32fd927', u'6f1e16595ca48ae1f9681c427555a730237dfcd6', u'1e1ec95117cf4701f3df2530aaf7a7c4627599f3', u'dca2eddf5c4f259301b424fd274fcccf92723be4', u'2a9dd14c83c0279a5343bb3eb5fa576bd288f510', u'181ee43b66990ac8b78d63f248d2165fe799085e', u'042f8e19703285b110f0a7d396110281b281c4e9', u'f07b95837981e5c86ea3fa2f3c281cca460435d8', u'3715be85ef5f5886efceddcbc3fb89131d6f72fc', u'1682016dd6c87936191d661ff5a524d0f3961610', u'dbba36acd01bbfbd38e74f74b6060044f4fffb88', u'6981e55d9f1add1e835cda7957ecdc8c054ae3f9', u'de21140f5ecc583fabdd3eb4b5da74ce27645644', u'17730b026899681557bddd78ecd57524f080aff3', u'17b74dd46b9598d7d8bc282682e0ac030bbfa306', u'743138e410228c29862624b548e02d019579a4f0', u'fca48c5c0df337611bf5aa81f47cc258850c99b0', u'0cd709042cc74009c838ce88da29593078006c9b', u'056b2397b3c5a8188bde55879f717e10282b422f', u'9194b787efb0baa99f57d8e6c2c0fa917e42f66e', u'bd69a851810a4e73fc0beaef64d21dea5104cd9d', u'9f7e5056172c0258220bcfe0586fc595e392a398', u'f21145bfe426b884968b5d9bef800f71c50a6fdb', u'dc70ea5bf0619de3649752ec73ee4782a1343e8b', u'dd85bc7925dc4f100a1c77997516d905600e03da', u'87d30580c831f51d0089ab45607c2ca9ab08cfd6', u'8a791a7a071a2d3f28da62192f935f96367f9451', u'e88d541d8291bd0ce3c69b004d31c0ac1484f6cf', u'32cd6700c31dea7cbfd4165496770277959ceedc', u'613aeae613366ecfd0e5649f08c52dcc35ef7ea5', u'a243254462954b207fc85fd0940137e7e12e46a3', u'018d22e27d0ac053bdccd3d18f9ab846e7c87f4e', u'69914ed1a6fcc2ae2451a7aab618870c0f9e39b9', u'16776c233a27c49522ad563d1419af02b41cfe46', u'a1d31d196403155561081ebcf1c931271f975e1c', u'9dd1513442f915547b13d6fdac062dde63126f4e', u'f6335925eabe9bc0d0b67d9fc0a764c8d0f7c1a2', u'20b94763305828df9ce60597e02f4f5f7a81ec92', u'e2a714c3a9efc2680a873d6d7620e15683871d07', u'f891de45323de34750a803ea4dc731094d90341f', u'c4c32b4dcf576d3341619183f1c851fd93586430', u'09db64d9ff0d0dd046365f94b519e1a5d4a8fd9b'];28/08/15 23:56;07/02/13 00:20;932;50;com.facebook.presto.cli.Query.pageOutput;5748;FALSE;d1150d2536085a92307dd5b88a34f319;Extract Method;[u'com.facebook.presto.cli.Query.pageOutput', u'com.facebook.presto.cli.Query', u'com.facebook.presto.cli.Query.pageOutput', u'com.facebook.presto.cli.Query.withKeepalive', u'com.facebook.presto.cli.Query'];987;inserted
functional;4471;85446dd60751409efa569aac759a788067e3da40;ddd2fed104cd6ec777522351a61a84e9274b7ff3;[u'74f1f175d5d0bd67eb4befb3190ff351893ca0f2', u'ce7db49cb5fb4117747d5841099364fd5efe5a14', u'e7fd80b624acf4b03e52a77265564564bbfac204', u'0b122975c5a8c462c827a70a805ee160ddf2a23e', u'2a110b0f7e5b8f3e7aa1456ae4ca7a9923ed0dae', u'4f44780f16228fba7ce43eba8f99ab4156f99902', u'5711bbeba9820884bc8ee6222b905f34bd9a6f0f', u'b14fb26d73bb9180e90b82cfe225a0aca4b9f424'];28/12/15 11:09;12/12/14 16:49;380;8;com.facebook.presto.sql.planner.TestDomainTranslator.testFromBasicComparisonsWithNulls;6623;FALSE;8f6a7af08916f89040b99d25cb5b82eb;Extract Method;[u'com.facebook.presto.sql.planner.TestDomainTranslator.testFromBasicComparisonsWithNulls', u'com.facebook.presto.sql.planner.TestDomainTranslator', u'com.facebook.presto.sql.planner.TestDomainTranslator.fromPredicate', u'com.facebook.presto.sql.planner.TestDomainTranslator.testFromBasicComparisonsWithNulls', u'com.facebook.presto.sql.planner.TestDomainTranslator'];4144;inserted
;1084;6082756f91ee4a673980e13120c5ad46275eb60c;5d1cc4ab6da455730a334b572d95743893ef22a5;[u'd71366d239b6e518a6fbc5ec88e86c44ced70120', u'6082756f91ee4a673980e13120c5ad46275eb60c', u'285cc0a1a49c0f6a01ee814d62c84d136bbd8d1a', u'85be779b1137a1f5a9152f2b6c767dd913961e99', u'1703a05a2c6861d95b5b8116b48e6a4c04f48dcf', u'0508afd75e7dda82e828851f9bf8eef82b38ea9c', u'b79e5eb51c99f3673622059d3e17488686f8f8e5', u'851b3524ae2447f70ce9285ac8cfaef9cd09c6ba', u'f4a7b710be7ca4de11019753f1ba5282be62ba53'];10/02/14 23:54;22/09/13 18:06;141;9;com.facebook.presto.operator.Driver.isFinished;2405;FALSE;b95d3acaeddfc3113d1edf0097a35db4;Extract Method;[u'com.facebook.presto.operator.Driver', u'com.facebook.presto.operator.Driver.isFinished', u'com.facebook.presto.operator.Driver', u'com.facebook.presto.operator.Driver.isFinished', u'com.facebook.presto.operator.Driver.close'];2014;inserted
;5516;ddae98546c7ee82b9d46a13457f93412ee978d9d;373c745b30b2db1e96eef844096b3620a11a84c7;[u'cb87c982bb2824ab726f5d9bd84b7021f966adaa', u'373c745b30b2db1e96eef844096b3620a11a84c7', u'6ba1423fbe3a7e0ac783283d7dfb9dd4a4a6e24f', u'28fe1b962dd767878b0ee8d15eedbdaa9ba50bf8'];04/06/16 20:12;01/06/16 21:47;2;4;com.facebook.presto.spi.block.AbstractInterleavedBlock.getRegion;7699;FALSE;4682e9d675f876746ff8b3a093aeaabc;Extract Method;[u'com.facebook.presto.spi.block.AbstractInterleavedBlock.getRegion', u'com.facebook.presto.spi.block.AbstractInterleavedBlock', u'com.facebook.presto.spi.block.AbstractInterleavedBlock.getRegionAlwaysReturnInterleavedBlock', u'com.facebook.presto.spi.block.AbstractInterleavedBlock', u'com.facebook.presto.spi.block.AbstractInterleavedBlock.getRegion'];7690;inserted
;5516;ddae98546c7ee82b9d46a13457f93412ee978d9d;3536c3441fffef223381f74f0165769db21231c9;[u'ddae98546c7ee82b9d46a13457f93412ee978d9d'];04/06/16 20:12;04/06/16 19:41;0;1;com.facebook.presto.block.TestInterleavedBlock.assertBlockPosition;7699;FALSE;e528d350ed58ce31ab7d1cf1c5fbb023;Extract Method;[u'com.facebook.presto.block.TestInterleavedBlock', u'com.facebook.presto.block.TestInterleavedBlock.assertBlockPosition', u'com.facebook.presto.block.TestInterleavedBlock', u'com.facebook.presto.block.TestInterleavedBlock.assertInterleavedPosition', u'com.facebook.presto.block.TestInterleavedBlock.assertBlockPosition'];7698;inserted
;5267;3847d03a4ac7e7f4e52bca451ddb5089a7402072;9c1fe4baca4d3a25ecbfc8f64b863c2ce6251ffe;[u'e1b23f1da3c1c6174cb02cea24f7efc59d8788b7', u'6d43fa69683fda97c612edffabf1ffeff28faeb7', u'85446dd60751409efa569aac759a788067e3da40', u'd725e4c654270636bc7de92cc6d74683b1de29fe', u'e468a287edfcabd8baff1826a1bab953033e1bd4', u'3bea458e30e79a3f9f05769ac4a43687ed0a8074', u'3847d03a4ac7e7f4e52bca451ddb5089a7402072', u'fd0a15d2e49ce4a01f3b8c8eea885c43cf17f418', u'7637afb1d32095ff797f665bf81e2712a02cf01f', u'93407d4529276fd437de5b7472c99100508c3f9e', u'5461239e4dcd9e37b8d30d6120ac604dee4d65bd', u'ce2ae58730e7a166034dbb96092a1b9997860c07'];21/04/16 04:38;19/11/15 19:28;153;12;com.facebook.presto.sql.planner.QueryPlanner.aggregate;7170;TRUE;3efdcbfc0dbed0df421496366e42e2cb;Extract Method;[u'com.facebook.presto.sql.planner.QueryPlanner.aggregate', u'com.facebook.presto.sql.planner.QueryPlanner', u'com.facebook.presto.sql.planner.QueryPlanner.aggregate', u'com.facebook.presto.sql.planner.QueryPlanner.aggregateGroupingSet', u'com.facebook.presto.sql.planner.QueryPlanner'];6169;inserted
;5267;3847d03a4ac7e7f4e52bca451ddb5089a7402072;e223a9e97515d63d8710b65428b35119021cd38f;[u'93407d4529276fd437de5b7472c99100508c3f9e', u'd725e4c654270636bc7de92cc6d74683b1de29fe', u'3847d03a4ac7e7f4e52bca451ddb5089a7402072', u'5461239e4dcd9e37b8d30d6120ac604dee4d65bd', u'fd0a15d2e49ce4a01f3b8c8eea885c43cf17f418', u'e1b23f1da3c1c6174cb02cea24f7efc59d8788b7'];21/04/16 04:38;04/03/16 02:05;48;6;com.facebook.presto.sql.planner.QueryPlanner.aggregate;7170;FALSE;d83156bf44b446481345e494b658480b;Inline Method;[u'com.facebook.presto.sql.planner.QueryPlanner.aggregateGroupingSet', u'com.facebook.presto.sql.planner.QueryPlanner.aggregate', u'com.facebook.presto.sql.planner.QueryPlanner', u'com.facebook.presto.sql.planner.QueryPlanner', u'com.facebook.presto.sql.planner.QueryPlanner.aggregate'];6852;inserted
;7443;42fd8bd5c1d9872ca915ee8d2808ee065efa2e19;46c5f900bcc46e5340101decda81c214a467ffe4;[u'7f4eaf7a112105d0fa735cb3d82b5be032a66eb3', u'fff0b1dab4c7cf89b593905d908b8fd136bfda3f', u'5220225c11761a3a60af6e23b917cda11cb1bc51', u'42fd8bd5c1d9872ca915ee8d2808ee065efa2e19', u'3645f74a59e0ce742d1b2582d7ba5d8d1f10cca3', u'd69ead6c3d7fc303bffdbeabc503d1a3713f13ce', u'4edc6ea6dc2ee43794889122d51652a8c88be5a8', u'57fdd630d3213d54481f13ff950805da9fe1666e', u'408aca43c2cb0a424218e6d837f75b490382716b', u'b7b62fc0e0b1df6723f78c6675ca3ff66552d180', u'd002796b0db2ca694609cfdc567e1934115ee65f', u'f07b95837981e5c86ea3fa2f3c281cca460435d8', u'ccccaa48223857d964c1226fe6efcbee102aebee', u'd4006a6474329dc9807e485e3f112b5514553562', u'633dc4a675df376e23f497dac4312540b5a336a5', u'599646f05bc3c2bad5a807dc2bf40333452ccec6', u'5374db4224e54080a2140a4b4bff847e3b9f3d7d', u'dd0674fbb81b4301ba96f9946ed91348658e0e78', u'6c6aabd2d1de32470ce1ddd625df0969190a25e0', u'0598341a0ffee2c920535b24c906ed0fa6b2978a', u'4a689007e6e0bf0bb276a4f72969b6668e1356d7', u'cfd8e21b3285d148e08710f1d6ec60b467b14dd3', u'99bba1a9cf6170b00456437b8f45b937fade6778', u'9194b787efb0baa99f57d8e6c2c0fa917e42f66e', u'4ee2b352d42437f9c85f190c55e44388d06b3d05', u'56247e3ac157865e6e413314e8bd2f411dd4ee92', u'c79cf625364447ee5aea18c141354d408fdd48aa', u'3157c1235bb33d0d5c0c6af77f445fdc01630154', u'f21145bfe426b884968b5d9bef800f71c50a6fdb', u'fb20289987f94d0c62f7425bf25b0828f9df3011', u'10a318c8708135d145f7aa48172dd9c6af7b9d50', u'6c67de2ab86c1c30ab6b5476e817235d599fa26e', u'37343bd00baaab04a461ef14f7ef88ad1693443b', u'97b02680d35f936f6886651d38ac8269165ed4d1', u'c9b57280fe091a202667681e93ca9c00245bbfee', u'd30def2681f40f349c0f0c416688189a63334de9', u'0b05bc0e8232c8ca0b37d4437d3da37a3dc11d85', u'b24ec8022c16b04be96866cf5777191406213d1e', u'fb3f53642d1fe00260b8f1d933744d52fba5a94d'];28/01/16 01:47;02/05/13 17:21;1000;39;com.facebook.presto.operator.ExchangeClient.scheduleRequestIfNecessary;6739;FALSE;b1d026793358304b45f8aff3f798263e;Extract Method;[u'com.facebook.presto.operator.ExchangeClient.scheduleRequestIfNecessary', u'com.facebook.presto.operator.ExchangeClient', u'com.facebook.presto.operator.ExchangeClient', u'com.facebook.presto.operator.ExchangeClient.scheduleRequestIfNecessary'];1426;inserted
;2060;37343bd00baaab04a461ef14f7ef88ad1693443b;599646f05bc3c2bad5a807dc2bf40333452ccec6;[u'b9e7063c4be4c75416c05505abb6b9a26c29be61', u'37343bd00baaab04a461ef14f7ef88ad1693443b', u'0b05bc0e8232c8ca0b37d4437d3da37a3dc11d85', u'3e0e84983694b34fd36be70ffe92591335f823ff', u'4552984efbab45411793e725f831188a0eb4ab0a', u'6c67de2ab86c1c30ab6b5476e817235d599fa26e', u'6cf02cbe032b05433d81b75f4f42a416121d4778', u'720b2b89e775f5a383cfa303714ad6eaf231db79', u'a585faeaa32629721b4fac712ed4d7ec0ee30256', u'21d3fbe0006f5606643482ad41b52b83c68c70b1', u'a58a53e360d5804d68f2f5b0254c0d625b5abcb6', u'e3b94b6ab4c29b8dddb99ce9fd2efa36e097d455', u'941cc84cd4ed30bc2f87c5e41bdd67cf3f5ba517', u'f21145bfe426b884968b5d9bef800f71c50a6fdb', u'2b8824caed73aba05388e2ee77101f18d07aee57', u'f9929d70efb00e3ec5e16e18f5d2136a57226bab'];18/09/14 19:26;17/05/13 21:32;488;16;com.facebook.presto.execution.SharedBuffer.addInternal;3521;FALSE;f0bd21a299b23270fc5971e528b47efb;Extract Method;[u'com.facebook.presto.execution.SharedBuffer', u'com.facebook.presto.execution.SharedBuffer.addInternal', u'com.facebook.presto.execution.SharedBuffer', u'com.facebook.presto.execution.SharedBuffer.addInternal', u'com.facebook.presto.execution.SharedBuffer.add'];1529;inserted
;4471;85446dd60751409efa569aac759a788067e3da40;ddd2fed104cd6ec777522351a61a84e9274b7ff3;[u'74f1f175d5d0bd67eb4befb3190ff351893ca0f2', u'ce7db49cb5fb4117747d5841099364fd5efe5a14', u'e7fd80b624acf4b03e52a77265564564bbfac204', u'0b122975c5a8c462c827a70a805ee160ddf2a23e', u'2a110b0f7e5b8f3e7aa1456ae4ca7a9923ed0dae', u'4f44780f16228fba7ce43eba8f99ab4156f99902', u'5711bbeba9820884bc8ee6222b905f34bd9a6f0f', u'b14fb26d73bb9180e90b82cfe225a0aca4b9f424'];28/12/15 11:09;12/12/14 16:49;380;8;com.facebook.presto.sql.planner.TestDomainTranslator.testFromBasicComparisonsWithNulls;6623;FALSE;8f6a7af08916f89040b99d25cb5b82eb;Extract Method;[u'com.facebook.presto.sql.planner.TestDomainTranslator.testFromBasicComparisonsWithNulls', u'com.facebook.presto.sql.planner.TestDomainTranslator', u'com.facebook.presto.sql.planner.TestDomainTranslator.fromPredicate', u'com.facebook.presto.sql.planner.TestDomainTranslator.testFromBasicComparisonsWithNulls', u'com.facebook.presto.sql.planner.TestDomainTranslator'];4144;inserted
